,RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
5186,20260104-084412,58.1619148254,58.1619148254,325.2137451172,325.2137451172,0.0351784336,0.0874693233,1.3736332784,1.2888467312,78.1999969482,64.3879516785,22801.0,22543.0080478163,3133.3332519531,3133.3332519531,0.6666666865,0.0602409649,853.0,853.0,15.0953607559,10.3419868343,0.0,0.0,11035,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,512,0.000159,20480,0.002924,0.116,0.924,3.0,constant,False,32,1,simple,,,5,1000000,2048,12000
5187,20260104-084945,4.5443401337,4.5443401337,526.2893676758,526.2893676758,0.0125850639,0.0673519103,1.4124867141,1.3958910704,73.3000030518,65.0953815414,22917.333984375,22663.7670368976,3133.3332519531,3133.3332519531,0.0,0.0,853.0,853.0,15.290514946,10.256303477,0.0,0.0,11036,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,4096,0.000259,81920,0.006138,0.113,0.948,10.0,constant,False,512,1,simple,,,5,1000000,2048,12000
5188,20260104-085839,92.3461685181,100.0000152588,88.2662200928,311.8748779297,0.024611271,0.0186620911,1.4099176461,1.4064339399,73.5666656494,64.754016003,22770.5,22505.5602409639,3133.3332519531,3133.3332519531,1.0,0.0542168675,853.0,853.0,17.2510318756,10.8527853575,0.0,0.0,11037,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,1024,0.000171,20480,0.008528,0.289,0.918,3.0,constant,True,128,3,simple,,,5,1000000,2048,12000
5189,20260104-090358,2.7834415436,2.7834415436,113.8063735962,113.8063735962,0.0186957303,0.0308397211,1.4036685765,1.38897717,75.6999969482,65.1983329773,22756.666015625,22560.3166015625,3133.3332519531,3133.3332519531,0.6666666865,0.0333333343,853.0,853.0,11.8232078552,8.8421022415,0.0,0.0,11038,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,0.000249,40960,0.000593,0.247,0.943,8.0,linear,True,256,2,simple,,,5,250000,64,12000
5190,20260104-090611,3.1703572273,3.1703572273,962.8598022461,962.8598022461,0.0127482551,0.0983634743,1.4031312222,1.3896921873,76.5999984741,65.0405622505,23550.333984375,23143.9297345633,3133.3332519531,3133.3332519531,0.5,0.0090361448,853.0,853.0,15.9034938812,10.261842676,0.0,0.0,11039,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,4096,0.000215,327680,0.005366,0.28,0.92,8.0,linear,False,128,2,simple,,,5,2000000,2048,12000
5191,20260104-092223,100.0000152588,100.0000152588,565.5205688477,865.5439453125,0.0251431643,0.0210509738,1.3612509377,1.3064328432,80.1500015259,65.5359438241,22940.333984375,22845.8273131589,3133.3332519531,3133.3332519531,1.0,0.0532128518,854.0,853.015060241,16.5435009003,10.8459700906,0.0,0.0,11040,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,1024,0.000107,81920,0.004243,0.102,0.902,4.0,linear,False,512,3,simple,,,5,2000000,128,12000
5192,20260104-093657,1.5359648466,1.5710176229,201.9783782959,211.9746704102,0.0184500969,0.0593123523,1.4116189102,1.4030687809,76.0666656494,64.8097561162,23048.0,22853.9756097561,3133.3332519531,3133.3332519531,0.0,0.0,853.0,853.0,11.7727403641,9.8520113782,0.0,0.0,11041,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,2048,0.000109,163840,0.007687,0.22,0.913,8.0,constant,True,512,1,simple,,,5,500000,128,12000
5193,20260104-094114,1.142696619,1.164716959,89.2902832031,99.0016708374,0.0131012956,0.1815099567,1.4146753788,1.4055081606,71.7666702271,65.5133340836,23047.0,22876.733203125,3133.3332519531,3133.3332519531,0.3333333433,0.0166666672,853.0,853.0,12.6663970947,9.8857831001,0.0,0.0,11042,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,4096,0.000168,163840,0.003484,0.225,0.941,8.0,constant,False,32,1,simple,,,5,250000,2048,12000
5194,20260104-094302,1.9605127573,2.0549998283,84.7831344604,87.8797531128,0.0349534087,0.1279712826,1.4158272505,1.4052009583,72.1999969482,63.7324995041,22923.0,22763.8,3133.3332519531,3133.3332519531,0.3333333433,0.0166666672,853.0,853.0,12.4007434845,9.1352463484,0.0,0.0,11043,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,512,0.000202,40960,0.009364,0.218,0.906,4.0,constant,False,64,3,simple,,,5,250000,64,12000
5195,20260104-094445,1.570155859,1.570155859,49.2258834839,49.2258834839,0.0353048276,0.1163816825,1.4135155231,1.4092451334,69.9000015259,64.1166672707,22878.5,22758.8957519531,3133.3332519531,3133.3332519531,0.3333333433,0.0833333358,853.0,853.0,10.6469755173,8.2020599842,0.0,0.0,11044,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303.0,,ppo,3DBallHard,512,0.000167,20480,0.005462,0.241,0.932,10.0,linear,True,64,1,simple,,,5,100000,256,12000
