run_id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251123-082617,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,9.7e-05,163840,0.000549,0.243,0.919,5,constant,False,128,2,simple,,,5,2000000,64,12000
20251123-084406,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000167,327680,0.008415,0.171,0.944,8,linear,True,64,1,simple,,,5,500000,512,12000
20251123-084902,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,8.9e-05,10240,0.001026,0.224,0.91,4,constant,True,512,3,simple,,,5,2000000,256,12000
20251123-090918,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,3.8e-05,20480,0.004852,0.225,0.903,8,constant,True,32,1,simple,,,5,500000,512,12000
20251123-091451,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000269,81920,0.002786,0.266,0.938,8,constant,True,256,1,simple,,,5,2000000,64,12000
20251123-093551,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000234,20480,0.000485,0.192,0.947,5,constant,False,64,1,simple,,,5,250000,2048,12000
20251123-093813,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000195,40960,0.002754,0.108,0.937,10,linear,False,256,1,simple,,,5,500000,1024,12000
20251123-094419,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000127,20480,0.009522,0.233,0.902,10,constant,False,32,3,simple,,,5,500000,128,12000
20251123-095015,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000238,40960,0.000772,0.195,0.91,4,constant,False,32,2,simple,,,5,100000,64,12000
20251123-095114,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000207,163840,0.009106,0.278,0.947,5,constant,False,64,1,simple,,,5,100000,128,12000
