RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb
20251123-014754,58.5789566,58.5789566,636.4104004,636.4104004,0.0177604615833333,0.6451017582499999,1.387866897746988,1.353452802,8.0,3.929518067722892,16323.0,14435.0582173494,2267.3332520000004,2267.333252,20.0,10.744979910277108,1988.0,1758.489957879518,1.028237104,0.5814139340722891,0.0,0.0
20251123-015841,5.235752106,5.377957821,550.6408081,595.175354,0.0247099060833333,0.0188876832083333,1.3986947134578314,1.383175731,10.5,3.414056224951807,14286.33301,11743.35140946988,2267.3332520000004,2267.333252,23.0,8.096385545036144,1735.0,1212.0381535903614,1.23939085,0.6848362935662651,0.0,0.0
20251123-020847,1.249706388,1.367556453,202.6998444,248.8567047,0.013440902,0.070979491,1.4175907954634148,1.414904118,5.699999809,2.492276427146342,10554.0,10195.081269268292,2267.3332520000004,2267.333252,1.666666627,1.0121951219512195,1124.0,1124.0,0.990618527,0.6380969591707316,0.0,0.0
20251123-021308,4.137004852,4.137004852,519.6694336,519.6694336,0.0185840625,0.2096956721666666,1.3904376346144578,1.348307252,5.75,2.4401606336265056,10402.33301,10191.122517228914,2267.3332520000004,2267.333252,1.333333373,1.0000000036144578,1124.0,1114.393573807229,1.115403652,0.6571708044939759,0.0,0.0
20251123-022158,1.397089362,1.498047709,210.332962,302.1870422,0.017797254,0.1094904443333333,1.4124543086097563,1.404747963,5.466666698,2.364227635097561,10431.33301,10288.487757560975,2267.3332520000004,2267.333252,1.333333373,1.0121951263170732,1112.0,1112.0,1.032576203,0.6535803029024391,0.0,0.0
20251123-022714,1.226162791,1.250293493,29.45754623,54.36628723,0.024950845,0.331251711,1.41875959925,1.417717099,5.099999905,2.725000038875,10281.0,10211.708495,2267.333252,2267.333252,13.0,2.583333335875,1112.0,1112.0,0.82613641,0.6033881195,0.0,0.0
20251123-022819,94.35001373,94.35001373,871.2884521,871.2884521,0.0241213880520833,1.62782816078125,1.3790954006385543,1.343011856,11.80000019,4.157831325608433,10227.5,10184.727898012048,2267.333252,2267.333252,9.0,1.3965863459879515,1112.0,1112.0,1.380275011,0.697246834253012,0.0,0.0
20251123-024301,100.0000153,100.0000153,181.7078857,855.9470215,0.0344459488958333,0.0078526033958333,0.9740616327650602,0.685329735,9.800000191,3.0290160692771084,10256.5,10221.488946084335,2267.333252,2267.333252,2.5,1.4508032134518072,1112.0,1112.0,1.15510428,0.7141349517349398,0.0,0.0
20251123-025729,1.995876193,2.017921925,485.1455078,505.561615,0.0126773110833333,0.231044973,1.4087064668554217,1.39954567,6.266666889,2.610843374096386,10353.33301,10280.947748313252,2267.3332520000004,2267.333252,1.666666627,1.000000002891566,1112.0,1112.0,1.159213543,0.6777311821686748,0.0,0.0
20251123-030604,1.277623773,1.313078403,570.9609375,648.7019043,0.0124281144999999,0.3238672636666667,1.4104551579156628,1.405318618,5.199999809,2.355823282722892,10471.66699,10351.720891325303,2267.3332520000004,2267.333252,1.333333373,1.0220883574819275,1113.0,1112.9939759036145,1.107769012,0.6755342709518072,0.0,0.0
20251123-031702,1.546578288,1.546578288,113.0189438,113.0189438,0.0253821995,0.2221959535,1.4182787716499998,1.417990208,5.699999809,2.70333330625,10267.33301,10205.6,2267.333252,2267.333252,1.333333373,0.99166667165,1113.0,1113.0,0.91437757,0.6339147471000001,0.0,0.0
20251123-031917,1.136685252,1.172727227,10.44065952,37.06415939,,,1.41893824925,1.418938279,3.299999952,2.13541665675,10291.0,10198.33337375,2267.333252,2267.333252,1.0,1.0,1113.0,1113.0,0.974629939,0.605784516875,0.0,0.0
20251123-032004,1.148217559,1.25019598,6.092535019,37.80073166,,,1.418938234375,1.41893816,4.566666603,2.537499979125,10290.33301,10205.8332525,2267.333252,2267.333252,1.0,1.0,1113.0,1113.0,0.856577694,0.6538599467499999,0.0,0.0
20251123-032052,1.159698606,1.238206625,49.17504883,53.90878677,0.01852414,0.086457722,1.418945237875,1.418986082,4.533333302,2.660416692625,10265.66699,10194.625,2267.333252,2267.333252,10.5,2.5,1113.0,1113.0,0.786310971,0.6113843992499999,0.0,0.0
20251123-032155,1.450955391,1.450955391,51.02849197,51.02849197,0.0182189325,0.144330695,1.41657763725,1.412966371,5.766666889,2.781250014875,10189.0,10165.5,2267.333252,2267.333252,1.333333373,1.0000000075000002,1113.0,1113.0,0.821691871,0.637558408,0.0,0.0
20251123-032256,1.140186906,1.245029211,80.003685,124.7073135,0.0174677717999999,0.4043530761999999,1.4165504395,1.415140271,3.599999905,2.1333333283500004,10188.66699,10174.3500485,2267.333252,2267.333252,1.666666627,1.00000000305,1114.0,1113.975,1.023580074,0.6553082212000001,0.0,0.0
20251123-032521,2.969283342,2.969283342,69.52843475,69.52843475,0.02512752,0.16464243825,1.4195922165,1.414400339,3.900000095,2.697916671625,10142.33301,10138.29162625,2267.333252,2267.333252,1.333333373,1.041666671625,1114.0,1114.0,0.768317163,0.5286469235,0.0,0.0
20251123-032640,1.526535034,1.534285665,468.6304016,648.1541138,0.012760426,0.1324063413333333,1.4175634269518071,1.41549468,5.233333111,2.2303212809156627,10899.33301,10549.668709759037,2267.3332520000004,2267.333252,8.5,1.074297192626506,1114.0,1114.0,1.08813417,0.6459204956987952,0.0,0.0
